date,label,NDVI,NDRE,NDMI,BSI,NDWI,NBR,laie,fapar,fcover
2018-01-02,2018-01,0.5241601263573461,0.36775045836768355,-0.0037677127521364476,0.06108107382067944,-0.5929502072326713,0.16885179256364788,1.7889536951805385,0.5587251517567803,0.5638103845786752
2018-02-02,2018-02,0.509274679886896,0.3600847839568609,-0.015451908277651718,0.05547191009748388,-0.574897140252369,0.13783714021427737,1.7277557824553853,0.5394941663071471,0.5509457088477911
2018-03-02,2018-03,0.47248966512847307,0.32892534067439316,-0.03310778098107299,0.060408175143466525,-0.519221592623772,0.13432870638231115,1.626906717091455,0.5079162515469018,0.5279086090191633
2018-04-02,2018-04,0.4747676370797738,0.32928314181492546,0.026398124256921954,0.02017807690586904,-0.4943687748125162,0.18916924788595,1.599756825437318,0.4993545352828278,0.5293342528889313
2018-05-02,2018-05,0.532820805829259,0.36069432415322994,0.0644798313001843,-0.019014630845656015,-0.5387710441153263,0.2414923137541244,1.813068246221287,0.5663554674712677,0.572723156769618
2018-06-02,2018-06,0.5470423441085497,0.38747285860023545,0.08186365876740179,-0.035426419664083136,-0.5404857770140004,0.2734001748084382,1.8640319396334002,0.5823559213785183,0.5849289633091098
2018-07-02,2018-07,0.555394847866397,0.39231612873119964,0.09134635044534932,-0.03883145162986867,-0.5559646798553673,0.2799639980933419,1.9003212813867023,0.5937549271035212,0.5928306275100723
2018-08-02,2018-08,0.5491037149628637,0.3920387745000605,0.07440707400535802,-0.035168080041847675,-0.556899620994041,0.2782495835417165,1.8862065147954756,0.5893212195688889,0.5889613556577207
2018-09-02,2018-09,0.5469538870731625,0.40056455164873134,0.06835439800402841,-0.0216794183211595,-0.5624089354589776,0.2780302462639494,1.8707627286322133,0.5844696622764681,0.5868341756004197
2018-10-02,2018-10,0.5775701627431395,0.41651787205525753,0.1120100268704179,-0.06129842419152377,-0.5951480343498621,0.31944666973019176,1.978629984704556,0.6183266587498875,0.6084082619478983
2018-11-02,2018-11,0.6521649584167485,0.46728847969815995,0.18125038191260662,-0.12225672226973339,-0.641653576501198,0.41866819071559563,2.244276223785798,0.7017217412570621,0.6605366918021629
2018-12-02,2018-12,0.6681449267654606,0.4848119894096643,0.16763367449649005,-0.11190410253652085,-0.6738487922390911,0.38893473881665197,2.3063190121905515,0.7206774116278197,0.6686344861460849
2019-01-02,2019-01,0.6626967578442066,0.4801181980270488,0.16419306098841802,-0.10347918872459083,-0.684801569029369,0.3829647667792949,2.285374358971704,0.7139602187786772,0.6653411783849862
2019-02-02,2019-02,0.6028816545027708,0.43087517090950955,0.114024361473437,-0.05216087377624307,-0.6193764526401279,0.3287775590383527,2.06671343488409,0.6459808887120195,0.6291559470381073
2019-03-02,2019-03,0.5908815297412068,0.41962403830515127,0.09108911924112569,-0.0436995973301613,-0.6069169899501895,0.295189745776826,2.024001026885932,0.632577312942188,0.620048860432503
2019-04-02,2019-04,0.5892651542534515,0.40886570200314953,0.11582956858961994,-0.06597028016244508,-0.5843391608429896,0.3199281932728194,2.017171673732882,0.6304268180635758,0.6217184130898304
2019-05-02,2019-05,0.6032797431488635,0.41683329656625684,0.13776950647972572,-0.08250313300481084,-0.5901020314453476,0.35424572986431724,2.070697052704187,0.6472434776426008,0.6292389843252817
2019-06-02,2019-06,0.5939456724141846,0.4147114402769495,0.14533595552792603,-0.08885491924624762,-0.5946307102385437,0.3445825910487352,2.033841531948611,0.6356721786763445,0.6219312549677404
2019-07-02,2019-07,0.5576848916294594,0.40062675199385206,0.08579818774080158,-0.03340400787493264,-0.5692912939804085,0.29964379657302376,1.9053023148989776,0.5953154592145022,0.5960933217917976
2019-08-02,2019-08,0.5696440556426885,0.40330884143519086,0.07272733536607279,-0.02029433720413804,-0.582786365775908,0.29093265292391934,1.9540797544745339,0.6106291148886046,0.6032560404956699
2019-09-02,2019-09,0.5721703700561903,0.4065745292590857,0.08076609999549922,-0.030463988715785862,-0.592961037435336,0.29736552696244695,1.9594999031038414,0.6123218182135928,0.6045875365347813
2019-10-02,2019-10,0.5965812401534416,0.43360803231361533,0.11654224736672776,-0.05787129326221238,-0.6077460460008437,0.32863941944115505,2.041081680589492,0.6379241566514765,0.623300273070048
2019-11-02,2019-11,,,,,,,,,
2019-12-02,2019-12,0.6924650578664873,0.49548611328375314,0.22688493428596937,-0.15901605490291693,-0.682866917203588,0.46592862223286874,2.389538388047175,0.7473264120596023,0.6869525103494412
2020-01-02,2020-01,0.6771388037633042,0.48743620213055466,0.20481812769899158,-0.14051822429018962,-0.6867631749049385,0.434632956226446,2.360826957912387,0.7381895783805897,0.6793772689914731
2020-02-02,2020-02,0.6368433025415485,0.4605349528465911,0.1383454278020306,-0.08904315016286701,-0.6401180615180299,0.36456680041820716,2.20279341418798,0.6887235645244761,0.6554842515712568
2020-03-02,2020-03,0.6195681129493468,0.43872732697898165,0.10420151897451015,-0.05572119555653436,-0.6256346154254103,0.33299045759482565,2.1452083008059035,0.6706408360329327,0.6453368285831647
2020-04-02,2020-04,0.6049776669393248,0.4129876363683192,0.13988429089029045,-0.08906706654001319,-0.5826872151758906,0.36373408972533156,2.0758718290443072,0.6488622670690279,0.6340784636632044
2020-05-02,2020-05,0.6413758918474952,0.45156698733295114,0.164057367877456,-0.11558674083951294,-0.6089541718753236,0.39500164409361604,2.2103137960945354,0.6910804377132762,0.6548191857712754
2020-06-02,2020-06,0.6204675847559661,0.43701619385839,0.1603923050951893,-0.10413953716031576,-0.6112094682090211,0.3891621496891151,2.1335755656291653,0.6669937563247981,0.6395806924598442
2020-07-02,2020-07,0.5992319050294085,0.4258295124580168,0.13029616693836937,-0.07464454902731706,-0.6046227355552586,0.3643203182960289,2.0666307291493777,0.6459722826344965,0.6269566870348781
2020-08-02,2020-08,0.6037528356527339,0.42838127918664726,0.1200702002765979,-0.06389978951505727,-0.6121398868092341,0.34576942196704885,2.076533550368388,0.649077791426184,0.6273630641294192
2020-09-02,2020-09,0.6142389704311881,0.4384931782014616,0.12754428760866005,-0.07171283519526857,-0.6133280832807217,0.36093888468954216,2.1083188584561645,0.6590502636345266,0.6340869715817714
2020-10-02,2020-10,0.6583326443151022,0.4779480957952891,0.18497547706679496,-0.13429680102915112,-0.6461368611074829,0.4068432019643454,2.2687264616965033,0.7093213049213781,0.6647939824721768
2020-11-02,2020-11,0.6787435320139333,0.5021085119606318,0.23826068602801434,-0.17846751436006242,-0.6562438322978993,0.46532325293538074,2.338055913626259,0.7311690640328399,0.6812983067539374
2020-12-02,2020-12,0.7475590564342524,0.5502111293711112,0.296938318538235,-0.23545145311451757,-0.7334735617039589,0.5404858952963845,2.592545626671369,0.8101119269777393,0.7167132202679929
2021-01-02,2021-01,0.7060080554306698,0.5080637997634648,0.2535965031411314,-0.1844406748728987,-0.7104168547335965,0.49654052337248683,2.4456881342254086,0.7648075309627209,0.6937845837063966
2021-02-02,2021-02,0.6703591582909842,0.4867307134362329,0.17104811072406495,-0.11334893336583954,-0.6755979519144366,0.4144010320123675,2.3192447307137156,0.7252776874993498,0.675392558000452
2021-03-02,2021-03,0.6392138536441015,0.45676968185020383,0.1298796672731197,-0.0786768489226173,-0.6490774522239374,0.3596045466180925,2.2023367933391484,0.6885759102491723,0.6559886734155479
2021-04-02,2021-04,0.6474474142236307,0.4530159069892087,0.14625102802171808,-0.07833011292053953,-0.6528719253691332,0.3843561457476784,2.23200348748568,0.69776957446239,0.6604355343643974
2021-05-02,2021-05,0.6556326326847336,0.4544294371362344,0.19715930195956324,-0.14292395586587076,-0.6227491151685856,0.42599260402100103,2.2632343431447035,0.7076989484471384,0.6647913229502883
2021-06-02,2021-06,0.6456021348963366,0.4545397077725781,0.19517011572322945,-0.13691916675536064,-0.626791572300506,0.4203479931444723,2.2224068141578996,0.6948800146170805,0.6565332816246976
2021-07-02,2021-07,0.6216938846561929,0.4419486064348024,0.16015057214719403,-0.10567415495183255,-0.6167614331796031,0.3892368236349577,2.1437762869717756,0.6701942647221816,0.6410349523627746
2021-08-02,2021-08,0.6187120900380098,0.4377296354764969,0.14321365993690524,-0.08502225284783856,-0.6264850163186274,0.38091488684131036,2.132607385079079,0.6666817160193748,0.6369807069945977
2021-09-02,2021-09,0.6501566106942109,0.4650587053406987,0.1631271938476002,-0.10893804329277433,-0.6389696707497646,0.39881755215959924,2.2436548798049554,0.7015507483349326,0.6576470749988091
2021-10-02,2021-10,0.6931029617500777,0.5065340356090905,0.20652019525497134,-0.15605425329056058,-0.6765817709637736,0.44713488801825174,2.3946101326139013,0.7489375641393725,0.684762865932279
2021-11-02,2021-11,0.7299216003200333,0.5340474820033216,0.2595676986368829,-0.20084700799460706,-0.7193397227984517,0.4981880390650822,2.528258208089125,0.7902959437579502,0.7054598522807976
2021-12-02,2021-12,0.7490353761121089,0.551517532545111,0.2899915222417834,-0.22758885257760117,-0.7457759768336208,0.5334217177416184,2.596237281908188,0.8099715382928109,0.7155199675368469
2022-01-02,2022-01,0.6956716198640012,0.504394001846496,0.24058259871625168,-0.17553940442670804,-0.7066857474276673,0.4731066772832918,2.4016216805328314,0.7510942187317458,0.6876307363077838
2022-02-02,2022-02,0.6802460933189965,0.4936431283707535,0.19109549964730219,-0.12099042923298645,-0.7009115132936906,0.434837460899108,2.3517849318498785,0.7353320493593705,0.6787135748877566
2022-03-02,2022-03,0.6107550985937689,0.4375828936462258,0.14971433702808984,-0.0835089681799715,-0.625420134697767,0.3838239621817278,2.0918308584293244,0.6538585296742397,0.6388801600992079
2022-04-02,2022-04,0.5991812419453387,0.41902953265868903,0.1645035897345728,-0.1021640507835769,-0.592487152101848,0.388918195566321,2.050002603137925,0.6407230219435996,0.6319261952765898
2022-05-02,2022-05,0.6334569884624598,0.44644119041090297,0.17425366364733208,-0.11363807136766152,-0.6224659382019991,0.4062896014534182,2.177365657987072,0.6807297819412695,0.650570808216191
2022-06-02,2022-06,0.6170724157815379,0.44160018016713487,0.16274719905743112,-0.09753661000663547,-0.6193806911429733,0.3932553458076641,2.120658759183112,0.6629270740912899,0.6386446961655127
2022-07-02,2022-07,0.5925353082851399,0.41928804340494935,0.12827942431509218,-0.06729661152045767,-0.6067102290164695,0.36601017829437926,2.0356966595059873,0.636256256915087,0.6201598927833678
2022-08-02,2022-08,0.5897285033184883,0.414475641030944,0.11870342134517314,-0.057153636888847364,-0.6139426151543388,0.35579855678645117,2.0235031832922186,0.6324266262144256,0.6166595265627297
2022-09-02,2022-09,0.6507519722389553,0.46438086375831944,0.14560803717262719,-0.0951260907641391,-0.6448709799538379,0.3798454838507972,2.2422501388050633,0.7011041469019845,0.6564233390879189
2022-10-02,2022-10,0.668156995358361,0.49567402718171644,0.17516974876147698,-0.12827172954804808,-0.6577562057297516,0.41348316817292463,2.3063504359292857,0.721216309840188,0.6690831832886256
2022-11-02,2022-11,0.7516586544715054,0.553011262259817,0.2746569464273277,-0.21558424290620964,-0.7262654991011611,0.5279370448567473,2.602846196225976,0.8139221028835179,0.7177986650538536
2022-12-02,2022-12,0.6645237096629217,0.4756705951267434,0.3127828317533457,-0.2461199639797825,-0.6116578448222492,0.5490653770756347,2.2862467815604495,0.7149053669912024,0.6663521462206503
2023-01-02,2023-01,0.7367677018421482,0.5498044906931456,0.2495157984248475,-0.19039529270545283,-0.7330877747932694,0.49826579164954626,2.573454375640123,0.8041945256881493,0.7129003341537504
2023-02-02,2023-02,0.6661157293218025,0.48451350427794787,0.18833641724658187,-0.12682190562259765,-0.685610588059828,0.42658942827235563,2.3037303458444325,0.7203830170307299,0.6728386106683238
2023-03-02,2023-03,0.6303677572168416,0.45092516963814167,0.1256609494091322,-0.06591320126918288,-0.6468577725765137,0.3702956364290423,2.1750662428272354,0.6800070944549728,0.6525861561669252
2023-04-02,2023-04,0.6158419922350143,0.44241676025568794,0.1615719928972904,-0.10749435777853529,-0.6152639830196586,0.38663793478413466,2.127727766085317,0.6651442093702468,0.644912978674707
2023-05-02,2023-05,0.64629608414117,0.4599917295718136,0.19592582964434485,-0.13578507039191998,-0.634691463692274,0.4319331740255438,2.224966418330826,0.6956786275733748,0.6577965435913117
2023-06-02,2023-06,0.6469605210168327,0.46955992043914724,0.15567894975894767,-0.10802399721197092,-0.6250733719414042,0.39910694715970607,2.2265929707319794,0.6961925851856647,0.6580763192258192
2023-07-02,2023-07,0.6317371233757763,0.45315886961445023,0.15654128436690512,-0.09893885966144927,-0.629277545675874,0.39480324195830374,2.170690496904239,0.6786434225224481,0.6464096493032815
2023-08-02,2023-08,0.6183025434457031,0.4411904158027533,0.1359829398029627,-0.0800789451221109,-0.6290496812027259,0.3769418978364197,2.129914238671255,0.6658378898891554,0.6361762062909779
2023-09-02,2023-09,0.6703635707917914,0.492289098629832,0.17221062773105617,-0.12717296556940613,-0.6579756313702555,0.41639385958881775,2.329214953733045,0.7284121843581195,0.6728898586865398
2023-10-02,2023-10,0.6461568063284163,0.47746377693693415,0.18799960860169662,-0.11348275036492947,-0.6548860869776527,0.42364294980770734,2.2198439413815554,0.6940504475729405,0.6594236297650855
2023-11-02,2023-11,0.7529496632629564,0.561069438182521,0.286117454471764,-0.23910912330537415,-0.7324034169186044,0.5271275256056545,2.6148696446893434,0.8172231292944555,0.7195539526993339
2023-12-02,2023-12,0.762674637905537,0.5683984863288278,0.2939520227110383,-0.23950358844058972,-0.7431664361261558,0.5423441881291331,2.6437304612139694,0.8248724210057188,0.7236701698167876
